company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
Gugu,battery electric vehicle energy renewable energy transportation,Seed,250000.0,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,2018,2017,Unknown,Undisclosed,renewable energy
FarmTaaza,agriculture farmers market farming,Series A,0.0,Bangalore,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,2018,2017,Unknown,Undisclosed,technology
Vizzbee,artificial intelligence drones navigation packaging services robotics,Pre-Seed,20000.0,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,2018,2017,Unknown,Undisclosed,technology
BIGPHI TECHNOLOGIES PVT. LTD.,fashion,Pre-Seed,900000.0,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,2018,2017,Unknown,Undisclosed,design and creative industries
Mobycy,fitness greentech internet of things mobile apps ride sharing transportation,Pre-Seed,0.0,Gurgaon,India's 1st Dockless Bicycle Sharing App,2018,2017,Unknown,Undisclosed,technology
Traveo Soft Pvt. Ltd.,mobile software travel,Other,17520.0,Bangalore,AI based Business Travel & Expense management,2018,2017,Unknown,Undisclosed,technology
Em Personal Care,cosmetics,Seed,0.0,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,2018,2017,Unknown,Undisclosed,beauty and wellness
Lucideus,consulting cyber security network security,Venture,5000000.0,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",2018,2017,Unknown,Undisclosed,technology
Eupheus Learning,elearning edtech education,Seed,0.0,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,2018,2017,Unknown,Undisclosed,technology
GamingMonk,esports gaming video games,Series A,584000.0,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",2018,2017,Unknown,Undisclosed,technology
Sukkhi Jewellery,fashion jewelry,Venture,7446000.0,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,2018,2017,Unknown,Undisclosed,design and creative industries
INDwealth,financial services,Seed,32120000.0,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,2018,2017,Unknown,Undisclosed,fintech
Medikabazaar,b2b medical device,Series A,5000000.0,Mumbai,India's largest medical and surgical supplies marketplace,2018,2017,Unknown,Undisclosed,healthcare
NIRA,credit financial services fintech lending,Seed,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2018,2017,Unknown,Undisclosed,technology
Duroflex Pvt. Ltd.,consumer goods manufacturing,PE,22000000.0,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,2018,2017,Unknown,Undisclosed,technology
